Feature ID,PMT1 leaf control,PMT1 leaf topped,PMT1 root control,PMT1 root topped,PMT2 leaf control,PMT2 leaf topped,PMT2 root control,PMT2 root topped,PMT3 leaf control,PMT3 leaf topped,PMT3 root control,PMT3 root topped,TN90 leaf control,TN90 leaf topped,TN90 root control,TN90 root topped,Swissprot,,Solyc,,GO ontology (biological process)
NITAB001022.1,0.0000,0.0000,0.2031,2.3745,0.0000,0.0008,0.2979,0.4996,0.0009,0.0000,1.3956,1.9261,0.0000,0.0000,0.1860,6.4137,Non-specific lipid-transfer protein 3,sp|Q43019|NLTP3_PRUDU,Non-specific lipid-transfer protein ,Solyc08g067510.1.1,lipid transport [GO:0006869]
NITAB001045.1,0.1910,0.2695,2.7559,3.2025,0.2173,0.2088,2.9314,3.4721,0.3368,0.2146,1.7825,5.3627,0.2082,0.2573,1.9689,5.6829,Alcohol dehydrogenase 2,sp|P28032|ADH2_SOLLC,"Alcohol dehydrogenase, putative ",Solyc08g083280.3.1,0
NITAB001047.1,0.0026,0.0149,2.2219,4.7235,0.0255,0.0000,3.2797,4.3438,0.0339,0.0160,1.5381,2.1397,0.0132,0.0165,1.4336,3.3718,NAC domain-containing protein 12,sp|Q9LPI7|NAC12_ARATH,#N/A,#N/A,"fruit dehiscence [GO:0010047]; plant-type secondary cell wall biogenesis [GO:0009834]; positive regulation of transcription, DNA-templated [GO:0045893]"
NITAB001183.1,1.0425,1.0235,11.7643,11.9009,1.4109,1.3807,15.1626,15.6498,1.4779,0.8493,7.6863,19.1478,1.0515,1.4657,15.4864,15.3063,"Ribosomal protein S3, mitochondrial",sp|P49386|RT03_BRANA,#N/A,#N/A,translation [GO:0006412]
NITAB001185.1,6.1617,2.4656,4.4160,3.9796,3.4184,2.9467,3.1130,2.5020,4.4933,5.5965,5.0294,3.2539,6.6823,1.5710,5.7454,3.6345,DNA-directed RNA polymerase subunit beta,sp|Q5SCX8|RPOB_HUPLU,Pentatricopeptide repeat-containing protein ,Solyc05g023860.1.1,"transcription, DNA-templated [GO:0006351]"
NITAB001422.1,1.0704,0.8458,3.0720,5.4279,0.6367,0.5671,2.5508,2.2177,1.4499,1.6623,1.9201,2.2568,1.6113,0.5770,3.1140,5.3990,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB001468.1,0.2181,0.3550,0.8192,0.4301,0.1399,0.2465,0.0000,1.7817,0.1212,0.2982,1.0226,0.1109,0.2558,0.3099,0.7564,0.0000,Retrovirus-related Pol polyprotein from transposon TNT 1-94,sp|P10978|POLX_TOBAC,#N/A,#N/A,DNA integration [GO:0015074]
NITAB001491.1,0.8490,1.3630,11.5757,27.3894,2.2743,1.5180,59.9423,22.5805,0.6691,0.5809,11.2540,15.0241,0.7370,1.3628,9.2858,24.2158,#N/A,#N/A,Calcium-dependent lipid-binding ,Solyc12g096970.2.1,#N/A
NITAB001546.1,0.1676,0.1284,0.3086,0.7814,0.2813,0.2813,1.2960,2.0971,0.0885,0.0679,0.0719,0.3190,0.0693,0.2343,0.2503,1.1219,Aquaporin TIP4-4,sp|Q9ATL3|TIP44_MAIZE,tonoplast intrinsic protein 4.1,Solyc08g066840.3.1,urea transport [GO:0015840]
NITAB001716.1,0.1153,0.1976,1.9197,3.2273,0.1428,0.2013,3.6201,5.0929,0.1793,0.1672,1.4127,3.8929,0.1780,0.1305,1.4454,5.1057,Catalase isozyme 3,sp|P49317|CATA3_NICPL,ethylene-responsive catalase,Solyc02g082760.3.1,hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]
NITAB001874.1,0.1432,0.2193,9.8306,13.0045,0.1357,0.1734,24.8250,18.5061,0.1887,0.1451,4.3995,7.8801,0.2642,0.2124,5.4865,17.5285,Pectinesterase inhibitor 11,sp|Q9STY5|PMI11_ARATH,Plant invertase/pectin methylesterase inhibitor ,Solyc08g079235.1.1,negative regulation of catalytic activity [GO:0043086]; plant-type cell wall organization or biogenesis [GO:0071669]
NITAB001896.1,0.2063,0.2293,2.8335,1.7326,0.3446,0.2712,1.7001,1.8101,0.2165,0.3464,2.4489,1.9949,0.3590,0.1185,3.9951,1.8809,#N/A,#N/A,Tetratricopeptide repeat ,Solyc08g076730.3.1,#N/A
NITAB001898.1,0.0565,0.0785,2.7148,20.8343,0.0785,0.1753,5.0141,33.6251,0.0652,0.1404,2.8268,17.5093,0.0649,0.2722,4.7441,12.3747,"Polyphenol oxidase F, chloroplastic",sp|Q08296|PPOF_SOLLC,polyphenol oxidase precursor,Solyc08g074630.2.1,pigment biosynthetic process [GO:0046148]
NITAB001906.1,0.0000,0.0317,0.0207,0.0269,0.0309,0.0851,0.0037,0.2042,0.0153,0.0252,0.0000,0.0113,0.1464,0.3252,0.4016,2.4938,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB002005.1,3.0054,3.1357,10.7335,19.7698,4.2638,4.6224,26.4684,28.1424,1.2245,2.8885,6.3518,9.6718,1.9702,7.4651,6.2877,21.6971,Endoglucanase 11,sp|O48766|GUN11_ARATH,"endo-beta-1,4-D-glucanase ",Solyc08g082250.3.1,cellulose catabolic process [GO:0030245]; cell wall organization [GO:0071555]
NITAB002022.1,3.1064,2.6227,5.1339,4.4854,2.7589,2.4829,4.0515,3.2693,3.1687,2.9136,5.6059,5.5210,4.0042,1.8488,6.3203,4.8417,UDP-glucose 4-epimerase GEPI48,sp|O65781|GALE2_CYATE,UDP-glucose 4-epimerase ,Solyc08g082440.3.1,galactose metabolic process [GO:0006012]
NITAB002110.1,0.3137,0.5068,4.5353,16.8140,0.3330,0.4979,7.4623,23.4707,0.2331,0.3892,2.4963,12.1199,0.3128,0.5323,4.7441,18.0729,Cytochrome P450 71D7,sp|P93531|C71D7_SOLCH,Cytochrome P450 ,Solyc08g074260.3.1,0
NITAB002303.1,1.6314,2.4334,12.4050,19.9993,2.1209,2.9459,18.4565,18.1172,0.7914,4.0395,10.2295,14.5382,0.0752,0.3135,0.1662,0.1860,14 kDa proline-rich protein DC2.15,sp|P14009|14KD_DAUCA,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein ,Solyc08g078910.1.1,0
NITAB002304.1,1.6467,2.2956,12.5365,20.0227,2.1588,3.1963,17.8997,18.0919,0.8110,4.1647,10.8255,14.4348,0.0534,0.3575,0.1404,0.1395,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB002347.1,0.0683,0.0123,2.3306,2.2943,0.1045,0.0706,2.2134,2.1298,0.0453,0.0140,3.0282,1.5788,0.0618,0.1162,1.0421,2.3456,Peamaclein,sp|P86888|PMLN_PRUPE,Gibberellin-regulated family protein ,Solyc12g042520.2.1,0
NITAB002358.1,0.0000,0.0151,0.0044,1.9215,0.0000,0.0082,0.0078,0.0235,0.0004,0.0084,0.0029,0.0000,0.0000,0.0000,3.0317,0.0118,"(R)-limonene synthase 1, chloroplastic",sp|A0A1C9J6A7|RLC1_CITSI,#N/A,#N/A,#N/A
NITAB002363.1,22.5985,19.4845,60.8920,59.9348,20.8357,21.5734,43.3302,39.1323,29.4386,36.4085,85.6600,60.7623,43.3016,12.6458,96.1462,53.6697,E3 ubiquitin-protein ligase MIEL1,sp|Q8VZK0|MIEL1_ARATH,RING finger and CHY zinc finger protein ,Solyc08g067960.3.1,defense response [GO:0006952]; negative regulation of defense response to bacterium [GO:1900425]; positive regulation of transcription factor catabolic process [GO:1901485]; protein ubiquitination [GO:0016567]
NITAB002384.1,4.3660,7.6454,29.1073,37.5125,8.8731,7.7227,100.7710,41.7458,10.3077,6.8406,33.4643,31.4642,7.2230,9.0740,20.5440,52.2887,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB002386.1,0.6488,0.8209,5.9631,8.2865,1.4287,1.1264,16.3032,9.4511,1.1258,0.5171,4.4716,6.8081,0.9684,0.7242,2.3832,9.1683,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB002388.1,0.5205,0.9474,5.1096,7.5832,3.2182,1.5700,20.6887,9.2154,1.1051,0.8002,3.9213,7.0725,0.5751,0.8157,2.9399,7.9489,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB002483.1,0.0047,0.0200,5.1934,8.9443,0.0192,0.0088,6.7817,6.1432,0.0296,0.0000,4.7546,4.1201,0.0188,0.0260,2.9215,5.2429,EMBRYO SURROUNDING FACTOR 1-like protein 5,sp|A8MQA4|ESFL5_ARATH,Subtilisin-like protease ,Solyc08g007620.2.1,0
NITAB002813.1,0.0167,0.0063,2.7261,20.8264,0.0182,0.0033,5.3162,5.7078,0.0255,0.0118,1.7871,3.8659,0.0251,0.0209,2.0059,3.8597,Expansin-like B1,sp|O23547|EXLB1_ARATH,Expansin-like protein ,Solyc08g077910.3.1,sexual reproduction [GO:0019953]
NITAB002823.1,0.8677,0.9285,2.5643,5.5582,0.8363,1.1156,4.2175,7.2250,0.6972,1.2224,1.7580,3.4931,0.9361,1.1476,2.5491,5.6278,Polyamine transporter PUT1,sp|A2X8M8|PUT1_ORYSI,Amino acid permease family protein ,Solyc08g075710.3.1,0
NITAB002929.1,0.5615,0.5832,8.7515,7.9559,0.7178,0.7834,10.1148,10.5935,0.9773,0.4388,4.6128,13.0695,0.5662,1.1438,10.4423,10.5425,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB002991.1,2.4406,0.6366,5.3651,4.0789,1.2159,1.6194,8.5784,8.1190,2.1682,3.0179,6.4584,9.4581,2.2504,0.7959,7.8434,5.3563,#N/A,#N/A,Plant invertase/pectin methylesterase inhibitor ,Solyc03g083720.1.1,#N/A
NITAB003016.1,2.9046,3.3493,4.3173,3.5708,2.8288,3.4508,3.2176,2.6838,1.1722,1.2906,2.3941,0.6276,2.4475,5.2542,3.4371,3.5287,Probable O-methyltransferase 3,sp|B0ZB57|OMT3_HUMLU,O-methyltransferase ,Solyc10g008120.3.1,0
NITAB003049.1,0.0204,0.0065,3.6174,7.0661,0.0186,0.0196,4.2056,5.9203,0.0104,0.0052,3.1566,4.0859,0.0051,0.0241,2.3445,5.2670,#N/A,#N/A,LETHM1,Solyc08g081500.2.1,#N/A
NITAB003262.1,0.0268,0.0166,4.4548,8.1755,0.0501,0.0068,4.8285,5.4574,0.0085,0.0246,3.9517,3.7901,0.0199,0.0237,2.6623,4.9988,Probable glucuronosyltransferase 47 A,sp|A9RGD8|GT47A_PHYPA,DB279,Solyc06g068770.3.1,cell wall organization [GO:0071555]; glucuronoxylan biosynthetic process [GO:0010417]; plant-type secondary cell wall biogenesis [GO:0009834]; protein glycosylation [GO:0006486]; xylan biosynthetic process [GO:0045492]
NITAB003370.1,1.0302,0.9459,3.3674,3.2543,1.2101,1.7697,4.4441,4.3712,1.4536,1.1079,3.0271,4.8406,1.5077,1.1948,5.7680,5.6515,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB003387.1,0.0098,0.0000,3.4366,2.1719,0.0089,0.0267,3.0695,1.9019,0.0091,0.0060,2.7303,1.6474,0.0000,0.0731,4.8780,3.7130,1-Cys peroxiredoxin,sp|Q6E2Z6|REHY_MEDTR,1-Cys peroxiredoxin ,Solyc03g096040.3.1,cell redox homeostasis [GO:0045454]
NITAB003448.1,1.5610,0.1970,3.6339,2.0732,0.5066,0.5516,3.4330,3.9038,0.8502,1.1808,3.9743,4.0312,1.2795,0.2411,5.0742,3.2096,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB003697.1,2.9574,2.1147,8.6679,7.7380,3.0118,2.7412,9.1185,6.5393,2.9321,3.1004,7.3023,7.7449,2.8253,2.7331,11.3955,8.7273,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB003759.1,0.6168,0.6693,8.9870,6.1124,0.8841,0.2629,6.3554,1.7016,0.2422,0.1916,2.5107,1.7908,0.2231,0.0869,0.9214,4.9149,#N/A,#N/A,solanesyl diphosphate synthase,Solyc07g061990.3.1,#N/A
NITAB003760.1,9.9749,20.9884,115.1138,161.0047,15.4317,6.5636,63.8091,31.1652,9.3929,5.7916,35.3290,36.3523,9.9003,12.5007,19.3685,77.8133,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB003761.1,0.5269,0.8426,2.0179,3.9902,0.6058,0.5941,1.8063,1.3151,0.7569,0.4272,0.4029,0.9766,0.6902,0.5360,0.7121,1.5726,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB003780.1,0.7858,1.4247,4.1587,11.2768,1.3118,0.9020,5.3932,2.9713,1.0378,0.7077,1.5836,2.1702,1.0179,1.1729,1.1938,3.9211,Cytochrome c oxidase subunit 1,sp|P05502|COX1_SORBI,#N/A,#N/A,aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119]
NITAB003822.1,0.9926,3.8123,24.6906,17.4040,1.1285,0.4619,5.5252,5.8739,0.9938,1.1004,58.3677,4.0829,1.5905,1.0878,2.8448,24.6332,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB003828.1,0.9177,0.8864,7.2837,8.6632,1.0681,0.8735,5.2332,6.9274,1.5757,1.7390,7.6816,10.0353,2.2641,0.6761,9.6553,10.4734,#N/A,#N/A,transmembrane protein ,Solyc08g041710.3.1,#N/A
NITAB003982.1,1.9952,2.2254,11.2622,14.6000,2.3860,1.7563,8.9555,7.1683,2.9775,2.4812,9.0060,9.5803,2.9229,0.6894,12.0757,11.4066,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB004045.1,0.3021,0.3908,13.9453,23.6630,0.7474,0.6705,28.9584,35.5042,0.1884,0.2796,8.1840,13.7862,0.2396,0.6882,9.9920,28.2395,Histone H3.2,sp|Q76MV0|H32_TOBAC,Histone H3 ,Solyc10g008910.1.1,0
NITAB004103.1,1.1566,1.5207,10.8423,22.1515,1.7788,1.3247,20.9352,23.5199,0.9360,1.2176,5.9553,10.3490,1.2741,1.5718,6.7108,24.1117,Histone H4,sp|Q76H85|H4_SILLA,histone H4 ,Solyc11g066160.1.1,nucleosome assembly [GO:0006334]
NITAB004124.1,24.3879,30.4304,29.1985,38.9853,21.4570,19.9132,64.2534,42.3527,21.2282,20.6339,23.4799,26.9388,24.7719,27.9036,21.9373,46.0327,#N/A,#N/A,Abscisic acid receptor ,Solyc12g095970.2.1,#N/A
NITAB004260.1,0.2959,0.2130,15.4318,27.6012,0.4903,0.5695,36.3187,42.0883,0.3263,0.1197,7.4410,16.0320,0.2061,0.5597,8.8373,31.9577,Probable xyloglucan endotransglucosylase/hydrolase protein 32,sp|Q9SJL9|XTH32_ARATH,Xyloglucan endotransglucosylase/hydrolase ,Solyc09g008320.3.1,cell wall biogenesis [GO:0042546]; cell wall macromolecule catabolic process [GO:0016998]; cell wall organization [GO:0071555]; xyloglucan metabolic process [GO:0010411]
NITAB004271.1,0.0173,0.0276,4.4567,7.9614,0.0359,0.0226,9.5259,9.2327,0.0287,0.0048,2.8791,3.5343,0.0125,0.0248,2.6118,8.0740,Probable inactive receptor kinase At5g58300,sp|Q9LVM0|Y5830_ARATH,Ovary receptor kinase 14 ,Solyc09g008860.3.1,0
NITAB004318.1,4.7223,4.7084,9.0678,10.9055,5.5097,8.6603,14.9286,12.1165,5.5555,4.6013,5.8975,5.5323,3.0520,8.6749,8.6765,15.9710,#N/A,#N/A,"Phytosulfokine 3, putative ",Solyc10g083580.2.1,#N/A
NITAB004339.1,0.0000,0.0000,0.1629,0.2749,0.0000,0.0000,0.4349,0.2513,0.0000,0.0142,0.0619,1.7564,0.0000,0.0000,0.1573,0.6098,#N/A,#N/A,Metallocarboxypeptidase inhibitor ,Solyc05g008550.3.1,#N/A
NITAB004395.1,0.1817,0.3564,3.8943,2.7215,0.2529,0.2419,1.8882,1.4307,0.4580,0.4526,3.2708,1.1236,0.6657,0.1157,3.0550,2.2547,#N/A,#N/A,"Transcription factor, putative ",Solyc09g008830.3.1,#N/A
NITAB004397.1,0.1386,0.1868,4.4376,11.3884,0.1020,0.1779,7.6883,14.2432,0.0416,0.2128,3.2488,7.1143,0.0651,0.3145,3.8235,10.5461,"Pyruvate kinase 1, cytosolic",sp|B8BJ39|KPYC1_ORYSI,Pyruvate kinase family protein ,Solyc09g008840.3.1,0
NITAB004476.1,3.3109,3.7690,59.7102,130.0967,3.9609,5.3664,91.7472,138.6920,2.0217,3.7922,43.3726,75.2195,2.5617,7.3573,42.8702,121.9500,Thioredoxin H-type,sp|P85801|TRXH_POPJC,"Thioredoxin, putative ",Solyc09g008295.1.1,cell redox homeostasis [GO:0045454]; glycerol ether metabolic process [GO:0006662]
NITAB004477.1,1.6633,2.1078,29.6745,65.7833,2.4945,3.5685,47.6262,73.7783,1.4405,2.1009,21.1044,37.2385,1.4809,3.6946,20.1658,62.0812,S-adenosylmethionine synthase 1,sp|Q9M7K8|METK1_TOBAC,S-adenosyl-L-methionine synthetase Z24743,Solyc09g008280.2.1,one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]
NITAB004525.1,3.8636,4.8605,2.6085,7.8357,4.6338,5.3204,5.1886,9.3370,4.4528,5.7981,2.0999,5.8541,5.4274,5.0687,2.1936,7.7365,Sulfite exporter TauE/SafE family protein 6,sp|O49567|TAUE6_ARATH,Sulfite exporter TauE/SafE family protein ,Solyc09g008780.3.1,protein ubiquitination [GO:0016567]
NITAB004567.1,0.7368,1.0892,2.4453,10.2768,1.0851,0.9520,4.5061,12.1183,1.0944,0.6088,1.5747,6.9018,0.9145,0.6994,2.7192,8.2743,F-box protein At2g15640,sp|Q9ZQF0|FB104_ARATH,Ribosomal protein S5/Elongation factor G/III/V family protein ,Solyc09g008080.3.1,0
NITAB004580.1,0.1083,0.1141,2.0411,4.0888,0.0545,0.4416,1.2942,3.6800,0.0165,0.4289,0.9532,2.4782,0.0626,0.2388,1.4453,3.9095,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB004594.1,0.1080,0.1085,23.0687,46.3212,0.2204,0.1335,29.2492,36.0007,0.0694,0.1145,23.0211,23.8260,0.0753,0.0816,15.9708,32.6647,Fasciclin-like arabinogalactan protein 13,sp|Q9FFH6|FLA13_ARATH,Fasciclin-like arabinogalactan protein ,Solyc09g007660.1.1,plant-type secondary cell wall biogenesis [GO:0009834]
NITAB004595.1,0.0233,0.0487,6.8705,13.4594,0.0556,0.0178,8.0128,7.5759,0.0136,0.0062,7.4094,5.5727,0.0200,0.0000,3.4487,6.8123,Fasciclin-like arabinogalactan protein 13,sp|Q9FFH6|FLA13_ARATH,Fasciclin-like arabinogalactan protein ,Solyc09g007660.1.1,plant-type secondary cell wall biogenesis [GO:0009834]
NITAB004609.1,0.9531,0.4008,5.0999,3.6585,1.1827,0.5620,4.2167,2.4035,0.5065,0.6621,4.6781,2.4470,1.1138,1.3814,9.6551,6.9499,#N/A,#N/A,"Phosphatidylethanolamine binding protein, putative ",Solyc09g005060.2.1,#N/A
NITAB004617.1,0.0359,0.0360,7.2808,13.7606,0.0419,0.0622,9.1967,11.4593,0.0480,0.0418,5.8483,7.6031,0.0578,0.0130,5.2186,9.3798,"Probable beta-1,4-xylosyltransferase IRX9",sp|Q9ZQC6|IRX9_ARATH,Glycosyltransferase ,Solyc09g007420.3.1,cell wall organization [GO:0071555]; glucuronoxylan biosynthetic process [GO:0010417]; glucuronoxylan metabolic process [GO:0010413]; plant-type secondary cell wall biogenesis [GO:0009834]
NITAB004676.1,0.0138,0.0070,0.1862,0.0343,0.1233,0.1850,0.9969,2.2262,0.0004,0.0079,0.1918,0.0282,0.0000,0.0220,0.0353,0.1017,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB004776.1,0.0108,0.0417,3.8111,7.4089,0.0486,0.0108,5.5977,5.8015,0.0246,0.0260,4.3756,3.7136,0.0323,0.0451,2.8354,3.9475,Laccase-17,sp|Q9FJD5|LAC17_ARATH,Laccase ,Solyc09g011970.2.1,lignin biosynthetic process [GO:0009809]; lignin catabolic process [GO:0046274]; phenylpropanoid metabolic process [GO:0009698]
NITAB004778.1,0.0163,0.0149,4.7665,6.8564,0.0588,0.0399,4.9645,4.5207,0.0108,0.0303,5.0947,2.9376,0.0145,0.0302,3.7167,4.0525,Laccase-17,sp|Q9FJD5|LAC17_ARATH,Laccase ,Solyc09g010990.3.1,lignin biosynthetic process [GO:0009809]; lignin catabolic process [GO:0046274]; phenylpropanoid metabolic process [GO:0009698]
NITAB004897.1,2.2929,1.6660,9.7153,9.2738,0.5723,0.5065,8.2506,13.1403,1.0786,1.5936,14.2768,6.5290,2.7323,0.2189,17.8730,12.7470,18.2 kDa class I heat shock protein,sp|P27880|HSP12_MEDSA,class I small heat shock protein,Solyc06g076570.3.1,0
NITAB004950.1,0.0900,0.0946,21.2615,40.5497,0.2130,0.0638,26.6465,28.6687,0.1083,0.0548,21.5749,21.1307,0.1188,0.1272,15.1516,23.8801,Laccase-17,sp|Q9FJD5|LAC17_ARATH,Laccase ,Solyc09g014240.3.1,lignin biosynthetic process [GO:0009809]; lignin catabolic process [GO:0046274]; phenylpropanoid metabolic process [GO:0009698]
NITAB005106.1,0.0639,0.0478,2.2796,4.3512,0.1723,0.1632,5.4716,5.1514,0.0427,0.0789,1.0180,2.1758,0.0456,0.1553,1.3437,4.5834,Expansin-B3,sp|Q9M0I2|EXPB3_ARATH,expansin B3 ,Solyc07g054170.3.1,cell wall organization [GO:0071555]; sexual reproduction [GO:0019953]; syncytium formation [GO:0006949]
NITAB005111.1,0.2614,0.1862,2.8386,2.1977,0.1994,0.2335,1.8298,1.5370,0.3322,0.5173,3.0551,2.1927,0.4677,0.0496,2.5491,1.7815,Ethylene-responsive transcription factor ERF054,sp|Q9M0J3|ERF54_ARATH,Ethylene-responsive transcription factor ERF053 ,Solyc07g054220.1.1,ethylene-activated signaling pathway [GO:0009873]; response to chitin [GO:0010200]
NITAB005134.1,0.0000,0.0000,0.9534,1.8721,0.0176,0.0009,3.6833,5.5837,0.0021,0.0000,0.9050,1.4408,0.0000,0.0533,2.1157,4.4750,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB005135.1,0.0538,0.0246,6.6169,13.2465,0.1245,0.0409,17.4354,28.7740,0.0381,0.0611,4.6169,11.0115,0.0457,0.0162,9.7547,23.6387,#N/A,#N/A,Sl proline-rich protein,Solyc12g009650.2.1,#N/A
